Object Count,Block Material,X-Coordinate,Y-coordinate,Z-Coordinate
1,"Wool, Brown",-22,8,66
2,"Wool, Brown",-22,9,66
3,"Wool, Brown",-22,8,67
4,"Wool, Brown",-21,7,64
5,"Wool, Brown",-21,8,64
6,"Wool, Brown",-21,7,64
7,"Wool, Brown",-21,8,64
8,"Wool, Brown",-21,7,64
9,"Wool, Brown",-21,8,64
10,"Wool, Brown",-21,9,64
11,"Wool, Brown",-21,10,64
12,"Wool, Brown",-21,6,65
13,"Wool, Brown",-21,7,65
14,"Wool, Brown",-21,8,65
15,"Wool, Brown",-21,9,65
16,"Wool, Brown",-21,10,65
17,"Wool, Brown",-21,11,65
18,"Wool, Brown",-21,7,66
19,"Wool, Brown",-21,8,66
20,"Wool, Brown",-21,9,66
21,"Wool, Brown",-21,10,66
22,"Wool, Brown",-21,7,67
23,"Wool, Brown",-21,8,67
24,"Wool, Brown",-21,9,67
25,"Wool, Brown",-21,10,67
26,"Wool, Brown",-21,8,68
27,"Wool, Brown",-21,9,68
28,"Wool, Brown",-20,6,63
29,"Wool, Brown",-20,7,63
30,"Wool, Brown",-20,8,63
31,"Wool, Brown",-20,9,63
32,"Wool, Brown",-20,10,63
33,"Wool, Brown",-20,11,63
34,"Wool, Brown",-20,6,64
35,"Wool, Brown",-20,7,64
36,"Wool, Brown",-20,8,64
37,"Wool, Brown",-20,9,64
38,"Wool, Brown",-20,10,64
39,"Wool, Brown",-20,11,64
40,"Wool, Brown",-20,6,65
41,"Wool, Brown",-20,7,65
42,"Wool, Brown",-20,8,65
43,"Wool, Brown",-20,9,65
44,"Wool, Brown",-20,10,65
45,"Wool, Brown",-20,11,65
46,"Wool, Brown",-20,6,66
47,"Wool, Brown",-20,7,66
48,"Wool, Brown",-20,8,66
49,"Wool, Brown",-20,9,66
50,"Wool, Brown",-20,10,66
51,"Wool, Brown",-20,11,66
52,"Wool, Brown",-20,7,67
53,"Wool, Brown",-20,8,67
54,"Wool, Brown",-20,9,67
55,"Wool, Brown",-20,10,67
56,"Wool, Brown",-20,7,68
57,"Wool, Brown",-20,8,68
58,"Wool, Brown",-20,9,68
59,"Wool, Brown",-20,10,68
60,"Wool, Brown",-19,7,62
61,"Wool, Brown",-19,8,62
62,"Wool, Brown",-19,9,62
63,"Wool, Brown",-19,10,62
64,"Wool, Brown",-19,11,62
65,"Wool, Brown",-19,5,63
66,"Wool, Brown",-19,6,63
67,"Wool, Brown",-19,7,63
68,"Wool, Brown",-19,8,63
69,"Wool, Brown",-19,9,63
70,"Wool, Brown",-19,10,63
71,"Wool, Brown",-19,11,63
72,"Wool, Brown",-19,12,63
73,"Wool, Brown",-19,5,64
74,"Wool, Brown",-19,6,64
75,"Wool, Brown",-19,7,64
76,"Wool, Brown",-19,8,64
77,"Wool, Brown",-19,9,64
78,"Wool, Brown",-19,10,64
79,"Wool, Brown",-19,11,64
