Object Count,Block Material,X-Coordinate,Y-Coordinate,Z-Coordinate
1,Stone,-196,155,1
2,Stone,-196,154,2
3,Stone,-196,155,2
4,Stone,-196,152,3
5,Stone,-196,153,3
6,Stone,-196,154,3
7,Stone,-196,150,4
8,Stone,-196,151,4
9,Stone,-196,152,4
10,Stone,-196,148,5
11,Stone,-196,149,5
12,Stone,-196,150,5
13,Stone,-195,164,1
14,Stone,-195,164,2
15,Stone,-195,163,3
16,Stone,-195,162,4
17,Stone,-195,161,5
18,Stone,-195,160,6
19,Stone,-195,158,7
20,Stone,-195,159,7
21,Stone,-195,156,8
22,Stone,-195,157,8
23,Stone,-195,158,8
24,Stone,-195,152,9
25,Stone,-195,153,9
26,Stone,-195,154,9
27,Stone,-195,155,9
28,Stone,-195,156,9
29,Stone,-195,148,10
30,Stone,-195,149,10
31,Stone,-195,150,10
32,Stone,-195,151,10
33,Stone,-195,152,10
34,Stone,-195,153,10
35,Stone,-195,148,11
36,Stone,-195,149,11
37,Stone,-195,126,5
38,Stone,-195,126,6
39,Stone,-195,127,6
40,Stone,-195,128,7
41,Stone,-195,129,7
42,Stone,-195,129,8
43,Stone,-194,170,2
44,Stone,-194,169,4
45,Stone,-194,168,5
46,Stone,-194,167,6
47,Stone,-194,168,6
48,Stone,-194,166,7
49,Stone,-194,167,7
50,Stone,-194,165,8
51,Stone,-194,166,8
52,Stone,-194,163,9
53,Stone,-194,164,9
54,Stone,-194,165,9
55,Stone,-194,161,10
56,Stone,-194,162,10
57,Stone,-194,163,10
58,Stone,-194,159,11
59,Stone,-194,160,11
60,Stone,-194,161,11
61,Stone,-194,156,12
62,Stone,-194,157,12
63,Stone,-194,158,12
64,Stone,-194,159,12
65,Stone,-194,151,13
66,Stone,-194,152,13
67,Stone,-194,153,13
68,Stone,-194,154,13
69,Stone,-194,155,13
70,Stone,-194,156,13
71,Stone,-194,148,14
72,Stone,-194,149,14
73,Stone,-194,150,14
74,Stone,-194,151,14
75,Stone,-194,152,14
76,Stone,-194,153,14
77,Stone,-194,126,10
78,Stone,-194,126,11
79,Stone,-194,127,11
80,Stone,-194,128,11
81,Stone,-194,128,12
82,Stone,-194,129,12
83,Stone,-193,175,2
84,Stone,-193,174,4
85,Stone,-193,174,5
86,Stone,-193,173,6
87,Stone,-193,172,7
88,Stone,-193,171,8
89,Stone,-193,169,9
90,Stone,-193,170,9
91,Stone,-193,168,10
92,Stone,-193,169,10
93,Stone,-193,166,11
94,Stone,-193,167,11
95,Stone,-193,168,11
96,Stone,-193,165,12
97,Stone,-193,166,12
98,Stone,-193,162,13
99,Stone,-193,163,13
100,Stone,-193,164,13
101,Stone,-193,165,13
102,Stone,-193,159,14
103,Stone,-193,160,14
104,Stone,-193,161,14
105,Stone,-193,162,14
106,Stone,-193,156,15
107,Stone,-193,157,15
108,Stone,-193,158,15
109,Stone,-193,159,15
110,Stone,-193,160,15
111,Stone,-193,150,16
112,Stone,-193,151,16
113,Stone,-193,152,16
